Date,Open,High,Low,Close,Volume,Dividends,Stock splits
2020-09-17,3.5296550637332307,3.5440618050756596,3.4576213570210843,3.493638038635254,1654300,0.0,0.0
2020-09-18,3.479231203363147,3.493637944316634,3.3783840166887398,3.385587215423584,1161900,0.0,0.0
2020-09-21,3.320757265395662,3.3279604645914946,3.205502986907959,3.205502986907959,1924800,0.0,0.0
2020-09-22,3.2055031718455806,3.248723743449416,3.1190627156055912,3.162282943725586,2033900,0.0,0.0
2020-09-23,3.169485949558826,3.2775366732849713,3.1550792092942586,3.1766891479492188,1940200,0.0,0.0
2020-09-24,3.1766891479492188,3.2559263911462293,3.1262657287651243,3.1766891479492188,1696600,0.0,0.0
2020-09-25,3.162282761281503,3.255926755214068,3.1406728202101855,3.205502986907959,1093300,0.0,0.0
2020-09-28,3.2271134363339256,3.421604633331299,3.176689665451704,3.421604633331299,2295200,0.0,0.0
2020-09-29,3.371180376926735,3.3927906594735817,3.219909429550171,3.219909429550171,2196000,0.0,0.0
2020-09-30,3.23431647065893,3.3711806902179506,3.205502986907959,3.205502986907959,2411400,0.0,0.0
2020-10-01,3.219909429550171,3.2631299946438648,3.16228246740363,3.219909429550171,2445100,0.0,0.0
2020-10-02,3.205502902496341,3.2775369534606904,3.191096161000233,3.2415199279785156,2149800,0.0,0.0
2020-10-05,3.2415198444945013,3.2919436101741404,3.1910960788148626,3.2775368690490723,1493100,0.0,0.0
2020-10-06,3.2919436916413654,3.3495706575677575,3.219909640749564,3.299146890640259,1912500,0.0,0.0
2020-10-07,3.277536749967389,3.385587132737738,3.241519726721413,3.3063502311706543,1686700,0.0,0.0
2020-10-08,3.3063504331229634,3.3639773990493556,3.2847401491586607,3.299146890640259,1991200,0.0,0.0
2020-10-09,3.299147142010099,3.4936383385723238,3.270333656851535,3.479231595993042,2684000,0.0,0.0
2020-10-13,3.486435120853651,3.551265290380613,3.428808150836869,3.4432148933410645,2049200,0.0,0.0
2020-10-14,3.457621202766985,3.5080446234740545,3.3711804150849662,3.399993896484375,1612000,0.0,0.0
2020-10-15,3.35677373351661,3.4576212636748163,3.3279602516096367,3.385587215423584,1977600,0.0,0.0
2020-10-16,3.385587156067236,3.443214462354656,3.2559264897590747,3.2847399711608887,1945200,0.0,0.0
2020-10-19,3.299147103708647,3.378384358716711,3.277537161832523,3.3207573890686035,1580000,0.0,0.0
2020-10-20,3.3207571713749404,3.407197620180461,3.3207571713749404,3.356773853302002,1399800,0.0,0.0
2020-10-21,3.3639773957777006,3.407197620180461,3.306350429907354,3.356773853302002,1165500,0.0,0.0
2020-10-22,3.3495708375002953,3.3495708375002953,3.2919438684782927,3.313553810119629,1041900,0.0,0.0
2020-10-23,3.327960588532701,3.3639776163046844,3.299147103708647,3.3207573890686035,434400,0.0,0.0
2020-10-26,3.2991468939629462,3.3279603769551613,3.2127064449863005,3.2415199279785156,1390300,0.0,0.0
2020-10-27,3.2559265262124533,3.3423669713856823,3.1910960205906336,3.2919435501098633,2625300,0.0,0.0
2020-10-28,3.2055029686451064,3.2271132530771234,2.9677915573120117,2.9677915573120117,2503800,0.0,0.0
2020-10-29,2.9677914370147174,3.0614354266179684,2.8237240249203346,2.9966049194335938,2023800,0.0,0.0
2020-10-30,2.9894016392687726,3.0614353433568815,2.917367935180664,2.917367935180664,3287100,0.0,0.0
2020-11-03,2.989401788635865,3.0326220132482526,2.73728346824646,2.73728346824646,1899300,0.0,0.0
2020-11-04,2.794910632957816,2.9894018173217773,2.7588936070266388,2.9894018173217773,2653000,0.0,0.0
2020-11-05,3.0398253033806646,3.0830458727722134,2.9389781095959697,2.9749951362609863,2422800,0.0,0.0
2020-11-06,2.946181619075669,3.1118593215942383,2.931774877269003,3.1118593215942383,2720100,0.0,0.0
2020-11-09,3.2271130083572612,3.306350253954145,3.1262658234509133,3.2847399711608887,3305800,0.0,0.0
2020-11-10,3.5152483280261584,3.6305022589503575,3.3783841133117676,3.3783841133117676,5070500,0.0,0.0
2020-11-11,3.4071978907197837,3.5008418894365505,3.2919439498276626,3.421604633331299,3112800,0.0,0.0
2020-11-12,3.3855873047753664,3.428807872260294,3.2271131501045915,3.234316349029541,2226400,0.0,0.0
2020-11-13,3.2631302055045937,3.414400819172349,3.255926663028895,3.356773853302002,2918200,0.0,0.0
2020-11-16,3.407197318162495,3.4360107985436077,3.299146594991432,3.371180295944214,2035200,0.0,0.0
2020-11-17,3.327960051506727,3.3927905536412015,3.327960051506727,3.3351635932922363,1426000,0.0,0.0
